ID,Tytuł,Autor,Cykl,Średnia ocena,Liczba ocen,Czytelnicy,Opinie
5095549,Pożar,Craig Alanson,Expeditionary Force (tom 11),"7,4",94,234,12
4934877,Początek,Wasilij Machanienko,Droga Szamana (tom 1),"7,6",1983,3873,285
4999909,Ostatnia bitwa,Dariusz Domagalski,HAJMDAL (tom 6),"7,1",127,220,17
4951633,Relikt,Dariusz Domagalski,HAJMDAL (tom 5),"7,0",172,290,19
4909479,Więzy krwi,Dariusz Domagalski,HAJMDAL (tom 4),"7,1",208,348,22
4869967,Bunt,Dariusz Domagalski,HAJMDAL (tom 3),"6,7",242,393,26
4863130,Księżyce Monarchy,Dariusz Domagalski,HAJMDAL (tom 2),"6,8",275,440,38
4848454,Początek podróży,Dariusz Domagalski,HAJMDAL (tom 1),"6,6",359,727,62
4945805,Niebiańska rzeka,Dennis E. Taylor,Bobiverse (tom 4),"7,1",442,899,67
4945703,Wszystkie te światy,Dennis E. Taylor,Bobiverse (tom 3),"7,4",630,1187,65
4929173,Gdyż jest nas wielu,Dennis E. Taylor,Bobiverse (tom 2),"7,5",754,1342,85
4909870,Wojna makowa,Rebecca F. Kuang,Wojna makowa (tom 1),"7,5",8234,16734,1171
4905356,"Nasze imię Legion, nasze imię Bob",Dennis E. Taylor,Bobiverse (tom 1),"7,3",1239,2864,199
4957028,Beniamin Ashwood,A. C. Cobble,Beniamin Ashwood (tom 1),"6,5",602,1230,130
4982657,Upadek Lewiatana,James S.A. Corey,Expanse / Ekspansja (tom 9),"7,7",708,1549,83
4905284,Gniew Tiamat,James S.A. Corey,Expanse / Ekspansja (tom 8),"7,8",842,1827,75
4899212,Wzlot Persepolis,James S.A. Corey,Expanse / Ekspansja (tom 7),"7,6",913,2019,75
4890464,Prochy Babilonu,James S.A. Corey,Expanse / Ekspansja (tom 6),"7,2",1025,2024,85
4875309,Gry Nemezis,James S.A. Corey,Expanse / Ekspansja (tom 5),"7,7",1158,2225,85
4851040,Wrota Abaddona,James S.A. Corey,Expanse / Ekspansja (tom 3),"7,5",1493,2710,113
4850144,Wojna Kalibana,James S.A. Corey,Expanse / Ekspansja (tom 2),"7,7",1759,3076,144
4846911,Przebudzenie Lewiatana,James S.A. Corey,Expanse / Ekspansja (tom 1),"7,5",2994,6987,359
4864850,Gorączka Ciboli,James S.A. Corey,Expanse / Ekspansja (tom 4),"7,5",1282,2416,93
5070650,King's Fall,Evan Currie,Odyssey One (tom 8),"8,0",3,27,1
4872617,Odyssey One. W cieniu zagłady,Evan Currie,Odyssey One (tom 7),"7,5",319,600,21
4844115,Odyssey One. Przebudzenie Odyseusza,Evan Currie,Odyssey One (tom 6),"7,3",352,639,26
4325122,Odyssey One. Król wojowników,Evan Currie,Odyssey One (tom 5),"7,5",397,744,28
252862,Odyssey One. W ogniu wojny,Evan Currie,Odyssey One (tom 4),"7,4",476,865,33
237760,Odyssey One. Ostatni bastion,Evan Currie,Odyssey One (tom 3),"7,6",525,917,36
224628,Odyssey One. W samo sedno,Evan Currie,Odyssey One (tom 2),"7,2",575,990,39
197385,Odyssey One. Rozgrywka w ciemno,Evan Currie,Odyssey One (tom 1),"7,2",748,1613,104
5035706,Smoki i demony,Kel Kade,Kroniki mroku/King's Dark Tidings (tom 5),"7,6",367,885,53
4972811,Królestwa i chaos,Kel Kade,Kroniki mroku/King's Dark Tidings (tom 4),"7,5",636,1124,60
4972810,Legendy Ahn,Kel Kade,Kroniki mroku/King's Dark Tidings (tom 3),"7,4",750,1254,69
4972809,Królestwo obłędu,Kel Kade,Kroniki mroku/King's Dark Tidings (tom 2),"7,7",885,1557,113
4954385,Powiernik mieczy,Kel Kade,Kroniki mroku/King's Dark Tidings (tom 1),"7,2",1220,2755,214
5073156,Bez prawa do błędu,Wasilij Machanienko,Świat Przeistoczonych (tom 1),"6,9",374,642,66
5114841,Perła południa,Wasilij Machanienko,Świat Przeistoczonych (tom 2),"7,2",226,348,22
5074231,Pośród wrogów,Evan Currie,Hayden War (tom 9),"7,4",108,222,15
5061631,Pogranicze w ogniu,Evan Currie,Hayden War (tom 8),"7,1",125,274,15
4815552,Nowe otwarcie,Evan Currie,Hayden War (tom 7),"7,1",219,419,17
3788489,De Oppresso Liber,Evan Currie,Hayden War (tom 6),"7,3",260,468,18
3788459,Za wszelką cenę,Evan Currie,Hayden War (tom 5),"7,2",265,480,17
309409,Zew Walhalli,Evan Currie,Hayden War (tom 4),"7,4",278,495,16
309408,Walkiria w ogniu,Evan Currie,Hayden War (tom 3),"7,3",302,519,14
300558,Narodziny Walkirii,Evan Currie,Hayden War (tom 2),"7,2",322,567,18
292780,Na srebrnych skrzydłach,Evan Currie,Hayden War (tom 1),"7,0",420,863,43
5087702,Masa Krytyczna,Craig Alanson,Expeditionary Force (tom 10),"7,7",115,275,12
5034562,Walkiria,Craig Alanson,Expeditionary Force (tom 9),"7,6",139,294,17
5019806,Armagedon,Craig Alanson,Expeditionary Force (tom 8),"7,3",147,293,10
5014044,Renegaci,Craig Alanson,Expeditionary Force (tom 7),"7,3",168,318,12
4993409,Mavericks,Craig Alanson,Expeditionary Force (tom 6),"7,1",178,364,10
4977674,Godzina zero,Craig Alanson,Expeditionary Force (tom 5),"7,3",208,369,9
4972110,Black Ops,Craig Alanson,Expeditionary Force (tom 4),"7,2",238,412,13
4978271,Kłopoty na Paradise,Craig Alanson,Expeditionary Force (tom 3.5),"6,9",154,296,11
4959327,Paradise,Craig Alanson,Expeditionary Force (tom 3),"7,2",291,478,23
4939443,SpecOps,Craig Alanson,Expeditionary Force (tom 2),"7,1",330,523,29
4924157,Dzień Kolumba,Craig Alanson,Expeditionary Force (tom 1),"7,3",443,965,68
5095506,Świat zieleni,B.V. Larson,Legion nieśmiertelnych (tom 15),"7,1",114,309,4
5087700,Świat Skraju,B.V. Larson,Legion nieśmiertelnych (tom 14),"7,1",118,325,6
5076376,Świat Szkła,B.V. Larson,Legion nieśmiertelnych (tom 13),"7,1",136,338,6
5074232,Świat Klonów,B.V. Larson,Legion nieśmiertelnych (tom 12),"7,0",151,345,8
5113703,Tatuażysta z Auschwitz,Heather Morris,Tatuażysta z Auschwitz (tom 1),"7,2",18472,30888,2388
5099156,Los pokonanych,Kel Kade,Tajne proroctwo (tom 1),"7,1",285,828,72
130409,Front burzowy,Jim Butcher,Akta Harry'ego Dresdena (tom 1),"6,6",2148,4407,265
5026569,Ciemny las,Cixin Liu,Wspomnienie o przeszłości Ziemi (tom 2),"8,0",4489,7786,490
4233532,Problem trzech ciał,Cixin Liu,Wspomnienie o przeszłości Ziemi (tom 1),"7,5",7891,16901,1024
5100417,Księstwo Różanego Krzyża,Marcin Świątkowski,Psy Pana (tom 2),"7,0",379,656,75
5077100,Psy Pana,Marcin Świątkowski,Psy Pana (tom 1),"6,6",755,1453,193
51717,Star Wars: Darth Bane. Dynastia Zła,Drew Karpyshyn,The Essential Legends Collection (tom 0),"7,8",1418,2170,101
51716,Star Wars: Darth Bane. Zasada Dwóch,Drew Karpyshyn,The Essential Legends Collection (tom 0),"7,6",1540,2296,97
136434,Star Wars: Darth Bane. Droga zagłady,Drew Karpyshyn,Trylogia Dartha Bane'a (tom 1),"7,9",876,1405,77
5034334,Ogień i krew. Część 2,George R.R. Martin,Historia Targaryenów (tom 1.2),"7,1",2186,4319,181
5034333,Ogień i krew. Część 1,George R.R. Martin,Historia Targaryenów (tom 1.1),"7,3",3085,6320,326
4966319,Świat Śmierci,B.V. Larson,Legion nieśmiertelnych (tom 5),"6,8",274,495,15
5053076,Świat Burz,B.V. Larson,Legion nieśmiertelnych (tom 10),"7,1",183,405,10
5064307,Świat Pancerza,B.V. Larson,Legion nieśmiertelnych (tom 11),"7,1",166,358,14
5029467,Świat Ciemności,B.V. Larson,Legion nieśmiertelnych (tom 9),"7,0",193,380,13
5014046,Świat Krwi,B.V. Larson,Legion nieśmiertelnych (tom 8),"6,9",212,413,15
4999910,Świat Buntowników,B.V. Larson,Legion nieśmiertelnych (tom 7),"7,0",234,460,15
4985304,Świat ludzi,B.V. Larson,Legion nieśmiertelnych (tom 6),"7,1",251,481,14
4962259,Świat Maszyn,B.V. Larson,Legion nieśmiertelnych (tom 4),"6,8",292,511,13
4941337,Świat Postępu,B.V. Larson,Legion nieśmiertelnych (tom 3),"6,7",319,563,20
4941336,Świat Pyłu,B.V. Larson,Legion nieśmiertelnych (tom 2),"6,8",358,614,33
4997165,Świat stali,B.V. Larson,Legion nieśmiertelnych (tom 1),"6,8",536,1042,77
5060263,Dar anomalii. Księga 1,Paweł Zbroszczyk,Dar anomalii (tom 1),"7,4",747,1375,286
5012783,Posłaniec,Krzysztof Barrek,Upadek cesarstwa (tom 1),"7,2",193,347,44
4918579,Pierwotny,Małgorzata Lisińska,Tropiciel (tom 3),"6,9",174,308,24
4863627,Czarownica,Małgorzata Lisińska,Tropiciel (tom 2),"7,1",270,438,41
4813063,Tropiciel,Małgorzata Lisińska,Tropiciel (tom 1),"6,7",433,734,75
5033814,Star Wars: Mistrz i uczeń,Claudia Gray,,"7,3",261,442,40
5040519,Kapitularz Diuną,Frank Herbert,Kroniki Diuny (tom 6),"7,1",1948,5005,116
5040518,Heretycy Diuny,Frank Herbert,Kroniki Diuny (tom 5),"7,3",2599,6064,140
5114517,Bóg Imperator Diuny,Frank Herbert,Kroniki Diuny (tom 4),"7,3",4266,8706,271
5040514,Dzieci Diuny,Frank Herbert,Kroniki Diuny (tom 3),"7,4",1474,2739,94
8601,Mesjasz Diuny,Frank Herbert,Kroniki Diuny (tom 2),"7,3",5944,9849,381
4942534,Diuna,Frank Herbert,Kroniki Diuny (tom 1),"8,2",21153,43225,1842
199630,Sezon burz,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 0.2),"7,4",22522,38792,1829
240527,Pani Jeziora,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 7),"8,2",32447,52687,1135
240525,Wieża Jaskółki,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 6),"8,3",33190,53060,910
240524,Chrzest ognia,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 5),"8,4",37530,58183,1091
240513,Czas pogardy,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 4),"8,3",40156,61470,1139
240512,Krew elfów,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 3),"8,2",44979,68620,1594
240312,Miecz przeznaczenia,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 2),"8,4",41774,62649,1494
240310,Ostatnie życzenie,Andrzej Sapkowski,Wiedźmin Geralt z Rivii (tom 1),"8,4",52969,80111,2667
301206,Taniec ze smokami. Część 2,George R.R. Martin,Pieśń Lodu i Ognia (tom 5.2),"8,2",16000,29303,565
301205,Taniec ze smokami. Część 1,George R.R. Martin,Pieśń Lodu i Ognia (tom 5.1),"8,0",17127,31376,491
253110,Uczta dla wron: Sieć spisków,George R.R. Martin,Pieśń Lodu i Ognia (tom 4.2),"8,0",8535,16089,200
252979,Uczta dla wron: Cienie śmierci,George R.R. Martin,Pieśń Lodu i Ognia (tom 4.1),"8,0",8949,16534,239
4942700,Nawałnica mieczy: Krew i złoto,George R.R. Martin,Pieśń Lodu i Ognia (tom 3.2),"8,5",1815,3611,51
4942363,Nawałnica mieczy: Stal i śnieg,George R.R. Martin,Pieśń Lodu i Ognia (tom 3.1),"8,4",2225,4211,59
135651,Star Wars: Darth Plagueis,James Luceno,,"7,8",656,1130,85
134106,Starcie królów,George R.R. Martin,Pieśń Lodu i Ognia (tom 2),"8,4",16453,27335,591
134254,Gra o tron,George R.R. Martin,Pieśń Lodu i Ognia (tom 1),"8,5",19101,32416,1332
